Report generated: 2025-11-28 16:01:07Z

TOTAL: 109
FR_COPIES: 63
TRANSLATED: 46

Locale | Status | Path
pa | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\pa\emails.php
pl | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\pl\emails.php
ps | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ps\emails.php
pt | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\pt\emails.php
ro | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\ro\emails.php
ru | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ru\emails.php
rw | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\rw\emails.php
sd | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\sd\emails.php
si | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\si\emails.php
sk | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\sk\emails.php
sl | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\sl\emails.php
sm | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\sm\emails.php
sn | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\sn\emails.php
so | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\so\emails.php
sq | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\sq\emails.php
sr | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\sr\emails.php
st | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\st\emails.php
su | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\su\emails.php
sv | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\sv\emails.php
sw | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\sw\emails.php
ta | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\ta\emails.php
te | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\te\emails.php
tg | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\tg\emails.php
th | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\th\emails.php
tk | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\tk\emails.php
tl | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\tl\emails.php
tr | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\tr\emails.php
tt | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\tt\emails.php
ug | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ug\emails.php
uk | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\uk\emails.php
ur | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ur\emails.php
uz | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\uz\emails.php
vi | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\vi\emails.php
xh | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\xh\emails.php
yi | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\yi\emails.php
yo | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\yo\emails.php
zh-CN | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\zh-CN\emails.php
zh-TW | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\zh-TW\emails.php
zu | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\zu\emails.php
